cards	repeat	wall_ms	gpu0_ms	gpu1_ms	count
0	0	94.294	0	0	18219008
1	0	19.9164	15.4192	0	18219008
1	1	19.8434	15.4672	0	18219008
1	2	20.3032	15.1321	0	18219008
1	3	19.8836	15.3943	0	18219008
1	4	19.8903	15.4742	0	18219008
2	0	16.3903	7.87146	14.0774	18219008
2	1	12.8406	7.9925	7.58021	18219008
2	2	12.6252	7.815	7.89052	18219008
2	3	12.7384	7.9101	7.83406	18219008
2	4	12.1429	7.10177	7.96563	18219008
