6 1035 1044 1056 10357 10549 561 549 550 0
6 18260 18269 18281 157974 158166 561 549 550 0
6 18301 18305 18317 158336 158492 561 549 550 0
6 18383 18388 18400 159066 159230 561 549 550 0
6 36082 36086 36096 311052 311177 561 558 523 0
6 36371 36391 36404 314289 314587 565 540 541 0
7 1035 1044 1056 10357 10549 561 549 550 0
7 18260 18269 18281 157974 158166 561 549 550 0
7 18301 18305 18317 158336 158492 561 549 550 0
7 18383 18388 18400 159066 159230 561 549 550 0
7 36110 36114 36124 311355 311480 561 558 523 0
7 36399 36419 36432 314592 314890 565 540 541 0
8 1035 1044 1056 10357 10549 561 549 550 0
8 18260 18269 18281 157974 158166 561 549 550 0
8 18301 18305 18317 158336 158492 561 549 550 0
8 18383 18388 18400 159066 159230 561 549 550 0
8 36145 36149 36163 311651 311810 561 558 523 0
8 36495 36515 36528 315414 315712 565 540 541 0
8 37605 37609 37631 325528 325752 562 558 551 0
8 37748 37752 37774 326731 326955 562 558 551 0
8 37893 37897 37919 327964 328188 562 558 551 0
8 38036 38040 38062 329179 329403 562 558 551 0
8 43791 43795 43832 378198 378545 562 558 530 0
8 54561 54565 54602 469524 469871 562 558 530 0
8 65332 65336 65373 560613 560960 562 558 530 0
8 76102 76106 76143 651692 652039 562 558 530 0
9 1035 1044 1056 10357 10549 561 549 550 0
9 18260 18269 18281 157974 158166 561 549 550 0
9 18301 18305 18317 158336 158492 561 549 550 0
9 18383 18388 18400 159066 159230 561 549 550 0
9 36145 36149 36163 311651 311810 561 558 523 0
9 36495 36515 36528 315414 315712 565 540 541 0
10 1035 1044 1056 10357 10549 561 549 550 0
10 18260 18269 18281 157974 158166 561 549 550 0
10 18301 18305 18317 158336 158492 561 549 550 0
10 18383 18388 18400 159066 159230 561 549 550 0
10 36159 36163 36177 311765 311924 561 558 523 0
10 36509 36529 36542 315528 315826 565 540 541 0
11 1035 1044 1056 10357 10549 561 549 550 0
11 18260 18269 18281 157974 158166 561 549 550 0
11 18301 18305 18317 158336 158492 561 549 550 0
11 18383 18388 18400 159066 159230 561 549 550 0
11 36194 36198 36208 312061 312186 561 558 524 0
11 36605 36625 36638 316350 316648 565 540 541 0
11 37737 37741 37759 326647 326837 562 558 551 0
11 37923 37927 37945 328210 328400 562 558 551 0
11 38110 38114 38132 329797 329987 562 558 551 0
11 38296 38300 38318 331375 331565 562 558 551 0
11 44071 44075 44112 380562 380909 562 558 530 0
11 54841 54845 54882 471888 472235 562 558 530 0
11 65612 65616 65653 562977 563324 562 558 530 0
11 76382 76386 76423 654056 654403 562 558 530 0
12 1035 1044 1056 10357 10549 561 549 550 0
12 18260 18269 18281 157974 158166 561 549 550 0
12 18301 18305 18317 158336 158492 561 549 550 0
12 18383 18388 18400 159066 159230 561 549 550 0
12 36194 36198 36208 312061 312186 561 558 524 0
12 36605 36625 36638 316350 316648 565 540 541 0
13 1035 1044 1056 10357 10549 561 549 550 0
13 18260 18269 18281 157974 158166 561 549 550 0
13 18301 18305 18317 158336 158492 561 549 550 0
13 18383 18388 18400 159066 159230 561 549 550 0
13 36208 36212 36222 312175 312300 561 558 524 0
13 36619 36639 36652 316464 316762 565 540 541 0
14 1035 1044 1056 10357 10549 561 549 550 0
14 18260 18269 18281 157974 158166 561 549 550 0
14 18301 18305 18317 158336 158492 561 549 550 0
14 18383 18388 18400 159066 159230 561 549 550 0
14 36243 36247 36261 312471 312630 561 558 524 0
14 36715 36735 36748 317286 317584 565 540 541 0
14 37869 37873 37895 327768 327992 562 558 551 0
14 38096 38100 38122 329675 329899 562 558 551 0
14 38325 38329 38351 331616 331840 562 558 551 0
14 38552 38556 38578 333539 333763 562 558 551 0
14 44325 44329 44363 382708 383030 562 558 530 0
14 55046 55050 55084 473617 473939 562 558 530 0
14 65775 65779 65813 564361 564683 562 558 530 0
14 76496 76500 76534 655032 655354 562 558 530 0
15 1035 1044 1056 10357 10549 561 549 550 0
15 18260 18269 18281 157974 158166 561 549 550 0
15 18301 18305 18317 158336 158492 561 549 550 0
15 18383 18388 18400 159066 159230 561 549 550 0
15 36243 36247 36261 312471 312630 561 558 524 0
15 36715 36735 36748 317286 317584 565 540 541 0
16 1035 1044 1056 10357 10549 561 549 550 0
16 18260 18269 18281 157974 158166 561 549 550 0
16 18301 18305 18317 158336 158492 561 549 550 0
16 18383 18388 18400 159066 159230 561 549 550 0
16 36257 36261 36275 312585 312744 561 558 524 0
16 36729 36749 36762 317400 317698 565 540 541 0
17 1035 1044 1056 10357 10549 561 549 550 0
17 18260 18269 18281 157974 158166 561 549 550 0
17 18301 18305 18317 158336 158492 561 549 550 0
17 18383 18388 18400 159066 159230 561 549 550 0
17 36292 36296 36310 312881 313040 561 558 524 0
17 36825 36845 36858 318222 318520 565 540 541 0
17 38001 38005 38027 328888 329112 562 558 551 0
17 38270 38274 38296 331147 331371 562 558 551 0
17 38541 38545 38567 333442 333666 562 558 551 0
17 38810 38814 38836 335719 335943 562 558 551 0
17 44581 44585 44619 384870 385192 562 558 530 0
17 55261 55265 55299 475434 475756 562 558 530 0
17 65948 65952 65986 565825 566147 562 558 530 0
17 76628 76632 76666 656152 656474 562 558 530 0
18 1035 1044 1056 10357 10549 561 549 550 0
18 18260 18269 18281 157974 158166 561 549 550 0
18 18301 18305 18317 158336 158492 561 549 550 0
18 18383 18388 18400 159066 159230 561 549 550 0
18 36292 36296 36310 312881 313040 561 558 524 0
18 36825 36845 36858 318222 318520 565 540 541 0
19 1035 1044 1056 10357 10549 561 549 550 0
19 18260 18269 18281 157974 158166 561 549 550 0
19 18301 18305 18317 158336 158492 561 549 550 0
19 18383 18388 18400 159066 159230 561 549 550 0
19 36306 36310 36324 312995 313154 561 558 524 0
19 36839 36859 36872 318336 318634 565 540 541 0
20 1035 1044 1056 10357 10549 561 549 550 0
20 18260 18269 18281 157974 158166 561 549 550 0
20 18301 18305 18317 158336 158492 561 549 550 0
20 18383 18388 18400 159066 159230 561 549 550 0
20 36341 36345 36363 313291 313484 561 558 524 0
20 36935 36955 36968 319158 319456 565 540 541 0
20 38133 38137 38163 330009 330267 562 558 552 0
20 38443 38447 38473 332612 332870 562 558 552 0
20 38756 38760 38786 335261 335519 562 558 552 0
20 39066 39070 39096 337883 338141 562 558 552 0
20 44857 44861 44895 387202 387524 562 558 530 0
20 55537 55541 55575 477766 478088 562 558 530 0
20 66224 66228 66262 568157 568479 562 558 530 0
20 76904 76908 76942 658484 658806 562 558 530 0
21 1035 1044 1056 10357 10549 561 549 550 0
21 18260 18269 18281 157974 158166 561 549 550 0
21 18301 18305 18317 158336 158492 561 549 550 0
21 18383 18388 18400 159066 159230 561 549 550 0
21 36341 36345 36363 313291 313484 561 558 524 0
21 36935 36955 36968 319158 319456 565 540 541 0
22 1035 1044 1056 10357 10549 561 549 550 0
22 18260 18269 18281 157974 158166 561 549 550 0
22 18301 18305 18317 158336 158492 561 549 550 0
22 18383 18388 18400 159066 159230 561 549 550 0
22 36355 36359 36377 313405 313598 561 558 524 0
22 36949 36969 36982 319272 319570 565 540 541 0
23 1035 1044 1056 10357 10549 561 549 550 0
23 18260 18269 18281 157974 158166 561 549 550 0
23 18301 18305 18317 158336 158492 561 549 550 0
23 18383 18388 18400 159066 159230 561 549 550 0
23 36390 36394 36404 313701 313826 561 558 525 0
