0	0	0	5	257	0	0	0	0	104	48	4	1
1	0	0	5	257	0	0	1	0	104	20	3	1
2	0	0	5	257	0	0	2	0	104	24	2	1
3	0	0	5	257	0	0	3	0	104	40	1	1
4	0	0	5	257	0	0	4	0	104	40	1	1
5	0	0	5	257	0	0	5	0	104	40	1	1
6	0	0	5	257	0	0	6	0	104	40	1	1
7	1	0	7	257	0	0	0	0	148	72	6	1
8	1	0	7	257	0	0	1	0	148	28	4	1
9	1	0	7	257	0	0	2	0	148	36	2	1
10	1	0	7	257	0	0	3	0	148	60	1	1
11	1	0	7	257	0	0	4	0	148	60	1	1
12	1	0	7	257	0	0	5	0	148	60	1	1
13	1	0	7	257	0	0	6	0	148	60	1	1
14	2	0	9	257	0	0	0	0	192	160	8	1
15	2	0	9	257	0	0	1	0	192	76	5	1
16	2	0	9	257	0	0	2	0	192	60	3	1
17	2	0	9	257	0	0	3	0	192	80	2	1
18	2	0	9	257	0	0	4	0	192	112	1	1
19	2	0	9	257	0	0	5	0	192	112	1	1
20	2	0	9	257	0	0	6	0	192	112	1	1
21	3	0	11	257	0	0	0	0	236	200	10	1
22	3	0	11	257	0	0	1	0	236	92	6	1
23	3	0	11	257	0	0	2	0	236	72	3	1
24	3	0	11	257	0	0	3	0	236	100	2	1
25	3	0	11	257	0	0	4	0	236	140	1	1
26	3	0	11	257	0	0	5	0	236	140	1	1
27	3	0	11	257	0	0	6	0	236	140	1	1
28	4	0	13	257	0	0	0	0	280	240	12	1
29	4	0	13	257	0	0	1	0	280	108	7	1
30	4	0	13	257	0	0	2	0	280	88	4	1
31	4	0	13	257	0	0	3	0	280	120	2	1
32	4	0	13	257	0	0	4	0	280	168	1	1
33	4	0	13	257	0	0	5	0	280	168	1	1
34	4	0	13	257	0	0	6	0	280	168	1	1
35	5	0	15	257	0	0	0	0	324	280	14	1
36	5	0	15	257	0	0	1	0	324	124	8	1
37	5	0	15	257	0	0	2	0	324	100	4	1
38	5	0	15	257	0	0	3	0	324	140	2	1
39	5	0	15	257	0	0	4	0	324	196	1	1
40	5	0	15	257	0	0	5	0	324	196	1	1
41	5	0	15	257	0	0	6	0	324	196	1	1
42	6	0	17	257	0	0	0	0	368	448	16	1
43	6	0	17	257	0	0	1	0	368	212	9	1
44	6	0	17	257	0	0	2	0	368	156	5	1
45	6	0	17	257	0	0	3	0	368	172	3	1
46	6	0	17	257	0	0	4	0	368	224	2	1
47	6	0	17	257	0	0	5	0	368	288	1	1
48	6	0	17	257	0	0	6	0	368	288	1	1
49	7	0	19	257	0	0	0	0	412	504	18	1
50	7	0	19	257	0	0	1	0	412	236	10	1
51	7	0	19	257	0	0	2	0	412	168	5	1
52	7	0	19	257	0	0	3	0	412	192	3	1
53	7	0	19	257	0	0	4	0	412	252	2	1
54	7	0	19	257	0	0	5	0	412	324	1	1
55	7	0	19	257	0	0	6	0	412	324	1	1
56	8	0	21	257	0	0	0	0	456	560	20	1
57	8	0	21	257	0	0	1	0	456	260	11	1
58	8	0	21	257	0	0	2	0	456	192	6	1
59	8	0	21	257	0	0	3	0	456	212	3	1
60	8	0	21	257	0	0	4	0	456	280	2	1
61	8	0	21	257	0	0	5	0	456	360	1	1
62	8	0	21	257	0	0	6	0	456	360	1	1
63	9	0	23	257	0	0	0	0	500	616	22	1
64	9	0	23	257	0	0	1	0	500	284	12	1
65	9	0	23	257	0	0	2	0	500	204	6	1
66	9	0	23	257	0	0	3	0	500	232	3	1
67	9	0	23	257	0	0	4	0	500	308	2	1
68	9	0	23	257	0	0	5	0	500	396	1	1
69	9	0	23	257	0	0	6	0	500	396	1	1
70	10	0	25	257	0	0	0	0	544	672	24	1
71	10	0	25	257	0	0	1	0	544	308	13	1
72	10	0	25	257	0	0	2	0	544	228	7	1
73	10	0	25	257	0	0	3	0	544	256	4	1
74	10	0	25	257	0	0	4	0	544	336	2	1
75	10	0	25	257	0	0	5	0	544	432	1	1
76	10	0	25	257	0	0	6	0	544	432	1	1
77	11	0	27	257	0	0	0	0	588	728	26	1
